YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER_CD,CRS_DEP_TM,DEP_DELAY,DEP_DELAY_15,CRS_ARR_TM,ARR_DELAY,ARR_DELAY_15,CANCELLED,ORIGIN_AIRPORT_CD,DEST_AIRPORT_CD
2013,6,1,6,WN,1040,-1,0,1150,-8,0,0,LAS,PHX
2013,6,1,6,WN,1355,-1,0,1510,-13,0,0,LAS,PHX
2013,6,1,6,WN,715,7,0,825,2,0,0,LAS,PHX
2013,6,1,6,WN,1525,23,1,1635,15,1,0,LAS,PHX
2013,6,1,6,WN,1140,23,1,1255,13,0,0,LAS,PHX
2013,6,1,6,WN,2120,-4,0,2225,-12,0,0,LAS,PHX
2013,6,1,6,WN,1955,20,1,2100,16,1,0,LAS,PHX
2013,6,1,6,WN,925,153,1,1635,138,1,0,LAS,PIT
2013,6,1,6,WN,1505,60,1,2210,62,1,0,LAS,PIT
2013,6,1,6,WN,1055,87,1,1830,76,1,0,LAS,RDU
2013,6,1,6,WN,1035,1,0,1200,-13,0,0,LAS,RNO
2013,6,1,6,WN,1500,38,1,1620,33,1,0,LAS,RNO
2013,6,1,6,WN,1400,51,1,1525,33,1,0,LAS,RNO
2013,6,1,6,WN,1605,18,1,1725,14,0,0,LAS,RNO
2013,6,1,6,WN,1840,-2,0,1955,-6,0,0,LAS,RNO
2013,6,1,6,WN,935,6,0,1100,-1,0,0,LAS,RNO
2013,6,1,6,WN,735,-1,0,855,-6,0,0,LAS,RNO
2013,6,1,6,WN,1655,-3,0,1800,-11,0,0,LAS,SAN
2013,6,1,6,WN,1855,1,0,2000,1,0,0,LAS,SAN
2013,6,1,6,WN,1750,8,0,1855,1,0,0,LAS,SAN
2013,6,1,6,WN,1200,15,1,1310,4,0,0,LAS,SAN
2013,6,1,6,WN,2040,3,0,2145,-5,0,0,LAS,SAN
2013,6,1,6,WN,1005,9,0,1115,4,0,0,LAS,SAN
2013,6,1,6,WN,1420,24,1,1530,13,0,0,LAS,SAN
2013,6,1,6,WN,830,1,0,935,-1,0,0,LAS,SAN
2013,6,1,6,WN,1500,21,1,1610,15,1,0,LAS,SAN
2013,6,1,6,WN,710,-3,0,815,1,0,0,LAS,SAN
2013,6,1,6,WN,1850,6,0,2320,1,0,0,LAS,SAT
2013,6,1,6,WN,1310,34,1,1740,22,1,0,LAS,SAT
2013,6,1,6,WN,1150,194,1,1625,185,1,0,LAS,SAT
2013,6,1,6,WN,955,140,1,1435,122,1,0,LAS,SAT
2013,6,1,6,WN,910,140,1,1545,129,1,0,LAS,SDF
2013,6,1,6,WN,1545,22,1,1830,8,0,0,LAS,SEA
2013,6,1,6,WN,855,-1,0,1135,27,1,0,LAS,SEA
2013,6,1,6,WN,1130,46,1,1415,28,1,0,LAS,SEA
2013,6,1,6,WN,1950,107,1,2225,99,1,0,LAS,SEA
2013,6,1,6,WN,1020,3,0,1155,1,0,0,LAS,SFO
2013,6,1,6,WN,620,-1,0,750,-9,0,0,LAS,SFO
2013,6,1,6,WN,1425,30,1,1605,15,1,0,LAS,SFO
2013,6,1,6,WN,840,-2,0,1015,-13,0,0,LAS,SFO
2013,6,1,6,WN,1940,13,0,2115,-6,0,0,LAS,SFO
2013,6,1,6,WN,1720,7,0,1855,-2,0,0,LAS,SFO
2013,6,1,6,WN,730,-2,0,855,-4,0,0,LAS,SJC
2013,6,1,6,WN,1345,24,1,1515,12,0,0,LAS,SJC
2013,6,1,6,WN,1915,9,0,2040,-3,0,0,LAS,SJC
2013,6,1,6,WN,1020,16,1,1145,7,0,0,LAS,SJC
2013,6,1,6,WN,1745,0,0,1915,-19,0,0,LAS,SJC
2013,6,1,6,WN,1605,13,0,1735,1,0,0,LAS,SJC
2013,6,1,6,WN,1935,-4,0,2150,-7,0,0,LAS,SLC
2013,6,1,6,WN,1500,28,1,1720,21,1,0,LAS,SLC
2013,6,1,6,WN,1730,5,0,1950,-2,0,0,LAS,SLC
2013,6,1,6,WN,1305,34,1,1525,25,1,0,LAS,SLC
2013,6,1,6,WN,845,14,0,1105,5,0,0,LAS,SLC
2013,6,1,6,WN,2000,10,0,2125,3,0,0,LAS,SMF
2013,6,1,6,WN,1300,54,1,1435,37,1,0,LAS,SMF
2013,6,1,6,WN,720,29,1,850,24,1,0,LAS,SMF
2013,6,1,6,WN,1020,4,0,1155,1,0,0,LAS,SMF
2013,6,1,6,WN,1455,22,1,1630,10,0,0,LAS,SMF
2013,6,1,6,WN,1725,4,0,1855,-3,0,0,LAS,SMF
2013,6,1,6,WN,655,-5,0,800,-15,0,0,LAS,SNA
2013,6,1,6,WN,1245,49,1,1350,40,1,0,LAS,SNA
2013,6,1,6,WN,1630,18,1,1735,10,0,0,LAS,SNA
2013,6,1,6,WN,2045,-3,0,2145,-10,0,0,LAS,SNA
2013,6,1,6,WN,830,-3,0,935,-15,0,0,LAS,SNA
2013,6,1,6,WN,935,-1,0,1440,-11,0,0,LAS,STL
2013,6,1,6,WN,725,3,0,1230,0,0,0,LAS,STL
2013,6,1,6,WN,1220,35,1,1730,24,1,0,LAS,STL
2013,6,1,6,WN,1800,-2,0,2305,-11,0,0,LAS,STL
2013,6,1,6,WN,1505,48,1,2215,49,1,0,LAS,TPA
2013,6,1,6,WN,1620,10,0,1740,-5,0,0,LAS,TUS
2013,6,1,6,WN,2005,-2,0,2120,-7,0,0,LAS,TUS
2013,6,1,6,WN,1010,7,0,1125,11,0,0,LAS,TUS
2013,6,1,6,WN,1220,12,0,1505,8,0,0,LAX,ABQ
2013,6,1,6,WN,1605,0,0,1850,-8,0,0,LAX,ABQ
2013,6,1,6,WN,740,1,0,1030,-15,0,0,LAX,ABQ
2013,6,1,6,WN,1035,12,0,1745,26,1,0,LAX,ATL
2013,6,1,6,WN,1545,8,0,2035,-6,0,0,LAX,AUS
2013,6,1,6,WN,725,-1,0,1220,-19,0,0,LAX,AUS
2013,6,1,6,WN,1550,17,1,2145,6,0,0,LAX,BNA
2013,6,1,6,WN,1105,2,0,1700,9,0,0,LAX,BNA
2013,6,1,6,WN,830,7,0,1635,-10,0,0,LAX,BWI
2013,6,1,6,WN,1745,12,0,2100,1,0,0,LAX,DEN
2013,6,1,6,WN,1040,-4,0,1350,2,0,0,LAX,DEN
2013,6,1,6,WN,1235,-1,0,1545,-4,0,0,LAX,DEN
2013,6,1,6,WN,625,-2,0,945,-12,0,0,LAX,DEN
2013,6,1,6,WN,1410,-2,0,1720,-4,0,0,LAX,DEN
2013,6,1,6,WN,850,0,0,1200,6,0,0,LAX,DEN
2013,6,1,6,WN,1440,1,0,1950,-14,0,0,LAX,HOU
2013,6,1,6,WN,1230,40,1,1740,35,1,0,LAX,HOU
2013,6,1,6,WN,720,4,0,1230,-8,0,0,LAX,HOU
2013,6,1,6,WN,1855,30,1,2355,31,1,0,LAX,HOU
2013,6,1,6,WN,1300,43,1,1400,46,1,0,LAX,LAS
2013,6,1,6,WN,1850,2,0,1955,-2,0,0,LAX,LAS
2013,6,1,6,WN,730,149,1,835,162,1,0,LAX,LAS
2013,6,1,6,WN,1945,21,1,2050,16,1,0,LAX,LAS
2013,6,1,6,WN,1140,35,1,1240,35,1,0,LAX,LAS
2013,6,1,6,WN,1510,-2,0,1610,-3,0,0,LAX,LAS
2013,6,1,6,WN,845,74,1,950,65,1,0,LAX,LAS
2013,6,1,6,WN,1035,21,1,1140,38,1,0,LAX,LAS
2013,6,1,6,WN,1730,-1,0,1835,-13,0,0,LAX,LAS
2013,6,1,6,WN,1455,8,0,2000,1,0,0,LAX,MCI
2013,6,1,6,WN,1000,1,0,1510,1,0,0,LAX,MCI
2013,6,1,6,WN,650,-1,0,1240,0,0,0,LAX,MDW
2013,6,1,6,WN,1305,5,0,1855,-1,0,0,LAX,MDW
2013,6,1,6,WN,1715,-3,0,2305,-14,0,0,LAX,MDW
2013,6,1,6,WN,1050,9,0,1640,20,1,0,LAX,MDW
2013,6,1,6,WN,850,6,0,1445,5,0,0,LAX,MDW
2013,6,1,6,WN,710,-2,0,1300,-4,0,0,LAX,MKE
2013,6,1,6,WN,1025,8,0,1610,-7,0,0,LAX,MSY
2013,6,1,6,WN,1730,-1,0,1845,-12,0,0,LAX,OAK
2013,6,1,6,WN,1310,-3,0,1425,-13,0,0,LAX,OAK
2013,6,1,6,WN,1515,1,0,1635,-13,0,0,LAX,OAK
2013,6,1,6,WN,1050,4,0,1205,-7,0,0,LAX,OAK
2013,6,1,6,WN,1935,-1,0,2055,-17,0,0,LAX,OAK
2013,6,1,6,WN,915,7,0,1035,-5,0,0,LAX,OAK
2013,6,1,6,WN,700,1,0,820,-10,0,0,LAX,OAK
2013,6,1,6,WN,2035,-3,0,2150,-13,0,0,LAX,OAK
2013,6,1,6,WN,1610,-3,0,1725,-4,0,0,LAX,OAK
2013,6,1,6,WN,1900,-1,0,2015,-6,0,0,LAX,PHX
2013,6,1,6,WN,945,-4,0,1105,-1,0,0,LAX,PHX
2013,6,1,6,WN,1410,-4,0,1530,-7,0,0,LAX,PHX
2013,6,1,6,WN,1115,-2,0,1240,-9,0,0,LAX,PHX
2013,6,1,6,WN,1220,-2,0,1340,-11,0,0,LAX,PHX
2013,6,1,6,WN,705,-2,0,830,-12,0,0,LAX,PHX
2013,6,1,6,WN,1705,-2,0,1825,-7,0,0,LAX,PHX
2013,6,1,6,WN,715,-4,0,835,-11,0,0,LAX,RNO
2013,6,1,6,WN,1910,-1,0,2025,-12,0,0,LAX,RNO
2013,6,1,6,WN,1240,-1,0,1400,-11,0,0,LAX,RNO
2013,6,1,6,WN,1510,-5,0,1955,-10,0,0,LAX,SAT
2013,6,1,6,WN,1130,35,1,1615,31,1,0,LAX,SAT
2013,6,1,6,WN,1645,-2,0,1800,-14,0,0,LAX,SFO
2013,6,1,6,WN,2025,-3,0,2140,-11,0,0,LAX,SFO
2013,6,1,6,WN,1140,-1,0,1310,-24,0,0,LAX,SFO
2013,6,1,6,WN,1400,-2,0,1525,-29,0,0,LAX,SFO
2013,6,1,6,WN,1010,5,0,1135,-11,0,0,LAX,SFO
2013,6,1,6,WN,1855,25,1,2005,32,1,0,LAX,SFO
2013,6,1,6,WN,1935,-1,0,2050,-12,0,0,LAX,SFO
2013,6,1,6,WN,715,-3,0,840,-17,0,0,LAX,SFO
2013,6,1,6,WN,700,-1,0,810,-11,0,0,LAX,SJC
2013,6,1,6,WN,1915,-2,0,2025,-7,0,0,LAX,SJC
2013,6,1,6,WN,1535,-5,0,1640,-2,0,0,LAX,SJC
2013,6,1,6,WN,2040,5,0,2145,-1,0,0,LAX,SJC
2013,6,1,6,WN,1300,-1,0,1410,-7,0,0,LAX,SJC
